City,Latitude,Longitude
Ceres,-120.9577098,37.5949316
Cerritos,-118.0647871,33.8583484
Chalfant,-118.3750841,37.5104962
Chalkyitsik,-143.7222222,66.6544444
Challenge,-121.2235715,39.4873887
Chandalar,-148.4936111,67.5052778
Chaniliut,-163.3933333,63.0411111
Charleston,-115.5106263,41.6707417
Charter Oak,-117.8458938,34.1030645
Chase,-150.1016667,62.4491667
Chatanika,-147.4772222,65.1122222
Chatham,-134.9436111,57.5152778
Chattaroy,-117.3577177,47.8896162
Chefornak,-164.2658333,60.16
Chehalis,-122.9640175,46.6620478
Chelan,-120.0164591,47.8409698
Chelan Falls,-119.9859009,47.8015252
Chelatchie,-122.3795412,45.9278898
Chelatna Lodge,-151.4044444,62.4344444
Chemult,-121.7828015,43.2165181
Chena Hot Springs,-146.0555556,65.0530556
Cheney,-117.5757622,47.4873895
Chenoweth,-121.2434056,45.6276198
Chernofski,-167.55,53.4083333
Cherokee,-121.5383036,39.6462739
Cherokee Strip,-119.2606647,35.4671811
Cherry Creek,-114.8858603,39.9004891
Cherry Valley,-116.9772484,33.9725153
Chesaw,-119.0514316,48.9460104
Cheshire,-123.2856507,44.1895676
Chester,-121.2319098,40.3062736
Chevak,-165.5863889,61.5277778
Chewelah,-117.7155208,48.276287
Chickaloon,-148.4627778,61.7966667
Chicken,-141.9361111,64.0733333
Chico,-121.8374777,39.7284945
Chignik,-158.4022222,56.2952778
Chignik Lagoon,-158.5302391,56.3084393
Chiloquin,-121.8661258,42.5776364
Chimacum,-122.7687771,48.0109233
Chinese Camp,-120.4332511,37.8710381
Chino,-117.688944,34.0122346
Chino Hills,-117.758884,33.993796
Chinook,-123.9454273,46.2728802
Chisana,-142.0408333,62.0661111
Chistochina,-144.6541704,62.5717828
Chitina,-144.4369444,61.5158333
Cholame,-120.2965384,35.7238556
Chowchilla,-120.2601754,37.1229997
Christopher,-122.2320647,47.3339893
Chualar,-121.5185514,36.5705171
Chuathbaluk,-159.245,61.5719444
Chubbuck,-115.2860921,34.3650047
Chugiak,-149.4819444,61.3888889
Chula Vista,-117.0841955,32.6400541
Cima,-115.4991602,35.2377644
Cinebar,-122.5317808,46.6042726
Circle,-144.0605556,65.8255556
Circle Hot Springs,-144.6341667,65.4833333
Citrus,-117.8917287,34.1150082
Citrus Heights,-121.2810611,38.7071247
City Terrace,-118.1828495,34.0500116
Clackamas,-122.5703692,45.4076205
Clallam Bay,-124.2596613,48.2545226
Clam Gulch,-151.3936111,60.2311111
Claremont,-117.7197785,34.0966764
Clark's Point,-158.5508333,58.8441667
Clarksburg,-121.5271772,38.4204651
Clarkston,-117.0451581,46.4162724
Clarkston Heights,-117.0823813,46.3962715
Clatskanie,-123.2067863,46.1012219
Clay,-121.15939,38.3360244
Clayton,-117.5582841,47.9968372
Cle Elum,-120.939249,47.1953976
Clear Creek,-121.0485719,40.2979436
Clear Lake,-122.2842056,46.9312326
Clearlake,-122.643928573,38.9562556755
Clearlake Oaks,-122.6719304,39.0262841
Clearview,-122.1259606,47.8337092
Cleone,-123.785571,39.4898875
Cliffdell,-121.0689708,46.9462292
Clifton,-118.3797962,33.8275154
Clinton,-122.3556962,47.9784276
Clio,-120.5802171,39.7432328
Clipper Mills,-121.1574587,39.5326673
Cloverdale,-123.8920603,45.2059389
Clovis,-119.7029194,36.8252277
Clyde,-122.029407,38.0254763
Clyde Hill,-122.2179015,47.6317656
Coachella,-116.173894,33.6803003
Coalfield,-122.1217869,47.5026006
Coalinga,-120.3601496,36.139678
Coarsegold,-119.7009834,37.2621687
Cobb,-122.7230451,38.8221258
Cobre,-114.4008572,41.1118689
Coburg,-123.0664761,44.1370689
Coffman Cove,-132.8277778,56.0138889
Cohasset,-121.7310898,39.9254385
Cohassett Beach,-124.1118392,46.8684241
Cohoe,-151.3063889,60.3686111
Colbert,-117.3418832,47.8265601
Cold Bay,-162.7211111,55.1858333
Cold Springs,-120.053241,38.1624181
Coldfoot,-150.1841667,67.2563889
Coleville,-119.5071119,38.5662988
Colfax,-117.3643495,46.8801655
College,-147.8027778,64.8569444
College City,-122.0094129,39.0057303
College Heights,-117.6892221,34.1066762
College Place,-118.3883012,46.0493026
Collierville,-121.2688365,38.2146386
Colma,-122.459695,37.6768779
Coloma,-120.890216,38.7999014
Colorado,-149.4358333,63.1627778
Colton,-117.3136547,34.0739016
Columbia,-120.4013061,38.0363119
Columbia City,-122.8070481,45.8901144
Colusa,-122.0094175,39.2143343
Colville,-117.905537,48.5465695
Colvos,-122.490685,47.4762091
Commerce,-118.1597929,34.0005691
Comptche,-123.5911224,39.2648954
Compton,-118.2200712,33.8958492
Conconully,-119.7497894,48.557371
Concord,-122.0310733,37.9779777
Concrete,-121.7462513,48.5392813
Condon,-120.1850344,45.2342966
Conejo,-119.7190244,36.5182834
Connell,-118.8611117,46.6634733
Contact,-114.7525374,41.769357
Conway,-122.3429343,48.3403804
Cooper Landing,-149.8341667,60.49
Coos Bay,-124.2178903,43.3665007
Copalis Beach,-124.1737879,47.1125857
Copalis Crossing,-124.069341,47.1078648
Copper Center,-145.3297294,61.9769598
Copperfield,-119.9449199,39.6315755
Copperopolis,-120.6418716,37.9810358
Coquille,-124.1876075,43.1770545
Corcoran,-119.5604015,36.098007
Cordell,-119.4120068,48.8665489
Cordova,-145.7575,60.5427778
Cornelius,-123.0598286,45.5198373
Cornell,-118.7778678,34.1144504
Corning,-122.1791556,39.9276572
Cornucopia,-117.1926751,45.008214
Corona,-117.5664384,33.8752935
Coronado,-117.1830891,32.6858854
Corralitos,-121.8063418,36.988562
